unit,parent_iso3,metric,year,value,unit_measure,precision,methodology_notes
AD-07,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-07,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-07,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-07,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-07,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-07,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AD-02,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-02,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-02,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-02,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-02,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-02,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AD-03,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-03,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-03,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-03,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-03,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-03,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AD-08,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-08,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-08,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-08,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-08,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-08,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AD-04,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-04,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-04,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-04,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-04,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-04,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AD-05,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-05,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-05,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-05,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-05,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-05,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AD-06,AND,population,2024.0,81938.0,people,1,Total population (World Bank estimate)
AD-06,AND,gdp,2024.0,4039844390.22543,current USD,2,GDP current US$ (World Bank estimate)
AD-06,AND,unemployment_rate,,,% of labor force,2,Unemployment rate (modeled ILO estimate)
AD-06,AND,inflation_cpi,,,% change,2,"Inflation, consumer prices annual %"
AD-06,AND,labour_force_participation,,,% of population,2,Labor force participation rate (modeled ILO estimate)
AD-06,AND,broadband_subscriptions,2023.0,51.7401,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
AE-AZ,ARE,population,2024.0,10876981.0,people,1,Total population (World Bank estimate)
AE-AZ,ARE,gdp,2024.0,537078829135.466,current USD,2,GDP current US$ (World Bank estimate)
AE-AZ,ARE,unemployment_rate,2024.0,2.133,% of labor force,2,Unemployment rate (modeled ILO estimate)
AE-AZ,ARE,inflation_cpi,2024.0,1.66336510224894,% change,2,"Inflation, consumer prices annual %"
AE-AZ,ARE,labour_force_participation,2024.0,77.707,% of population,2,Labor force participation rate (modeled ILO estimate)
