source_id,endpoint,parameters,auth,rate_limit,cadence,change_detection,readiness,contact_channel,verification_date,problem_keywords,esg_focus,notes
CA_Economy_Wiki,https://en.wikipedia.org/wiki/Economy_of_California,Static web page,None,None,Periodically updated by editors,Manual checks; rely on revision history,Available,Wikipedia Talk Page,2025-10-02,"California economy, sectors, employment",Includes sections on sustainability and agriculture,Provides sectoral GDP and largest employers【16025826659863†L708-L736】【16025826659863†L820-L835】
CA_HRTP,https://cwdb.ca.gov/initiatives/high-road-training-partnerships-healthcare-grants,Static web page,None,None,Updates when new grant cycles announced,Monitor website for updates,Available,CA Workforce Development Board,2025-10-02,"High Road Training Partnership, healthcare grant",Focus on climate resilience and equity,Describes $28.5M HRTP program and partnership model【403905054878861†L58-L101】
Port_LA,https://www.portoflosangeles.org/business/statistics,HTML table listing monthly TEUs,None,None,Monthly updates,Check monthly statistics page,Available,Port of Los Angeles Media Relations,2025-10-02,TEU statistics 2024,Data includes context for Clean Air Action Plan,Provides 2024 TEU total and growth【584277127530177†L292-L321】
TX_Economy_Wiki,https://en.wikipedia.org/wiki/Economy_of_Texas,Static web page,None,None,Periodically updated,Manual monitoring,Available,Wikipedia Talk Page,2025-10-02,"Texas economy, sectors, GDP",Mentions renewable energy sector,"Provides details on agriculture, aeronautics, major companies【768241928370379†L432-L505】"
NY_Economy_Wiki,https://en.wikipedia.org/wiki/Economy_of_New_York_(state),Static web page,None,None,Periodically updated,Manual check,Available,Wikipedia Talk Page,2025-10-02,"New York GDP, tourism, manufacturing",Notes on agriculture and microchip industry,States GDP and sectors; tourism second largest industry【334938837982675†L152-L176】
NY_Workforce,https://esd.ny.gov/workforce-development-capital-grant-program,Static web page,None,None,Program updates occur annually,Monitor for grant announcements,Available,Empire State Development,2025-10-02,workforce development capital grant program,Focus on diversity and cleantech sectors,Provides $35M funding details and inclusive objectives【615536852938470†L104-L147】【615536852938470†L133-L151】
IL_Economy_Wiki,https://en.wikipedia.org/wiki/Economy_of_Illinois,Static web page,None,None,Periodically updated,Manual check,Available,Wikipedia Talk Page,2025-10-02,"Illinois economy, manufacturing",Industrial diversification and agriculture,"Reports manufacturing output, sectors, and service industries【473264537774497†L170-L179】【473264537774497†L220-L237】"
IL_Workforce_DCEO,https://dceo.illinois.gov/workforce,Static web page listing workforce programs,None,None,Updated when programs change,Monitor site for updates,Available,Illinois DCEO Office of Employment & Training,2025-10-02,"WIOA Works Illinois, Apprenticeship Illinois",Programs promote equity and innovative training,Lists programs and contact details【575859447111687†L70-L93】
IL_CEJA_Hubs,https://chicookworks.org/clean-energy-jobs-act-hubs,Press release with program details,None,None,One-off announcement,N/A,Available,Chicago Cook Workforce Partnership,2025-10-02,"CEJA workforce hubs, clean energy training",Targets underrepresented communities and clean energy jobs,Describes funding ($6M) and training capacity for 400 residents【163821077485036†L75-L115】
IL_HIB,https://dceo.illinois.gov/expandrelocate/incentives/hilibusinessprog.html,Static page describing High Impact Business Program,None,None,Updated as incentives change,Monitor site for updates,Available,Illinois DCEO Business Development,2025-10-02,High Impact Business Program tax incentives,Includes renewable energy projects,Explains eligibility requirements and incentives【101749043679476†L63-L99】
IL_Incentives_Overview,https://southernillinoisnow.com/2023/12/13/statewide-incentives-for-business-investment,Blog summarizing Illinois incentives,None,None,One-off article,N/A,Available,Southern Illinois Now contact form,2025-10-02,"Illinois incentives REV, EDGE, HIB, MICRO",Includes incentives for renewable energy and apprenticeships,"Lists $400M closing fund, REV Illinois, MICRO, HIB, Enterprise Zones【35491535789360†L124-L171】"
ORD_Operations_Report,https://www.flychicago.com/sites/cdot/AboutUs/Statistics/Annual-Reports,PDF summarizing 2024 operations,None,None,Annual report,Monitor release of annual reports,Available,Chicago Department of Aviation,2025-10-02,O’Hare passenger and cargo statistics,Mentions sustainability in operations,Provides 2024 passenger and cargo figures【979371973403393†L96-L167】
PA_Key_Industries,https://www.dced.pa.gov/business-assistance/key-industries/,Static web page,None,None,Occasional updates,Monitor site,Available,Pennsylvania DCED,2025-10-02,Pennsylvania key industries,Highlights clean energy and robotics sectors,Lists key sectors targeted by the state【40434119533228†L116-L136】
