Epic ID,Epic Name,Feature ID,Feature Name,User Story ID,User Story Title,Task ID,Task Description,Codex Prompt,Status
E01,Atlas Design System & Tokens,F01.1,Define & Build Tokens,US01.1.1,Centralize design definitions in tokens.json,T01.1.1.1,"Create tokens.json file with colors, spacing, radius, elevation, motion, z-index and type scale definitions in packages/atlas-tokens.","Create a JSON file at packages/atlas-tokens/tokens.json containing design token definitions (colors, spacings, typography scales, radii, elevations, motions and z-index). Export as ES modules if needed and commit.",Completed
E01,Atlas Design System & Tokens,F01.1,Define & Build Tokens,US01.1.2,Generate CSS and Tailwind from tokens,T01.1.2.1,"Implement build script to output CSS variables, Tailwind preset and TypeScript definitions from tokens.json.","Write a build script at packages/atlas-tokens/build.ts that reads tokens.json and emits CSS variables (tokens.css), a tailwind preset (tailwind.preset.cjs) and TypeScript definitions (tokens.d.ts). Use Node to compile and write files in packages/atlas-svelte/src/lib/styles.",Completed
E01,Atlas Design System & Tokens,F01.2,Svelte UI Primitives,US01.2.1,Provide basic UI components for design system,T01.2.1.1,"Develop Button, Card, Badge, Input, Select and Modal components in packages/atlas-svelte/src/lib/components with props for variant, size, disabled, icons and slot content.","Create Svelte components (Button, Card, Badge, Input, Select, Modal) under packages/atlas-svelte/src/lib/components. Use tokens for styling, support variants (primary, ghost, outline, danger), sizes (sm, md, lg), disabled states and slots. Ensure accessible markup and export these components from packages/atlas-svelte/src/lib/index.ts.",Completed
E01,Atlas Design System & Tokens,F01.2,Svelte UI Primitives,US01.2.2,Integrate tokens into web app,T01.2.2.1,Import tokens.css in apps/web/src/app.css and create a preview page at apps/web/src/routes/design/preview/+page.svelte demonstrating the primitives under different themes.,"Modify apps/web/src/app.css to import tokens.css generated by the build script. Create a new route /design/preview/+page.svelte that imports and displays Button, Card, Badge, Input, Select and Modal components in light and dark themes with interactive examples.",Completed
E01,Atlas Design System & Tokens,F01.3,Testing foundation,US01.3.1,Ensure type and unit test coverage for primitives,T01.3.1.1,Set up minimal Vitest tests for each primitive verifying props and accessible output.,"Write Vitest tests in packages/atlas-svelte/tests for Button, Card, Badge, Input, Select and Modal verifying that props render correctly, accessible roles are present and CSS classes reflect variants. Ensure bun run typecheck and bun run test:unit pass.",Completed
E02,Global Layout & Navigation,F02.1,App Shell & Navigation,US02.1.1,As a user I need a top bar and side navigation to access sections,T02.1.1.1,Create TopBar.svelte and SideNav.svelte components with responsive design and accessible roles.,"Build TopBar.svelte to include logo, search input, alerts icon and profile dropdown. Build SideNav.svelte to include nav links for Discover, Capital, Partners, Assets, Plans, Intelligence and Admin, support collapsible state on mobile and highlight active link. Use tokens for styling.",Completed
E02,Global Layout & Navigation,F02.1,App Shell & Navigation,US02.1.2,Integrate layout and nav across routes,T02.1.2.1,Create AppShell.svelte that composes TopBar and SideNav and wraps page content. Set up layout with grid and responsive breakpoints.,Add AppShell.svelte in apps/web/src/lib/layout that renders TopBar and SideNav components and uses a slot for page content. Update root +layout.svelte to wrap page routes with AppShell. Configure responsive grid and CSS classes based on tokens.,Completed
E02,Global Layout & Navigation,F02.2,Command Palette,US02.2.1,As a power user I want to open a command palette using Cmd+K and search for pages,T02.2.1.1,Create CommandPalette.svelte component with an input field and results list; implement keyboard shortcuts and navigation.,"Develop CommandPalette.svelte that listens to Cmd+K to open. Provide an input to filter pages and use arrow keys to navigate results. When selecting a result, navigate to the route. Use accessible roles and ensure focus management. Add to AppShell.",Completed
E02,Global Layout & Navigation,F02.3,Accessibility & Keyboard,US02.3.1,Ensure navigation and palette support keyboard and screen readers,T02.3.1.1,"Write a11y unit tests using axe and Playwright to verify focus order, ARIA roles and keyboard navigation.",Completed, top bar and command palette are accessible: roles specified, focusable elements in correct order, and keyboard navigation works as expected. Use bun test commands.",Completed
E03,Report Cards & Evidence,F03.1,ReportCard component,US03.1.1,As a user I need to see trust metrics for programs and partners,T03.1.1.1,"Develop ReportCard.svelte displaying scale, focus, speed, reliability, additionality and references sections with collapsible content.","Create ReportCard.svelte in packages/atlas-svelte/src/lib/components that accepts an object of scores and details, renders metric rows with bar/score and expand/collapse sections. Include slots for references and use tokens for styling.",Completed
